,Pre-pulse (mV),,Holding Potential: -120mV,,,,,,,,,,,
12.2,-3.29E-12,8.59E-13,3.60E-12,-8.58E-12,-1.78E-11,-2.06E-11,-4.75E-11,-8.39E-11,-1.12E-10,-1.26E-10,-1.76E-10,-3.00E-10,-5.18E-10,-8.42E-10
12.3,3.90E-12,6.17E-12,-3.27E-12,4.55E-12,-1.43E-11,-1.81E-11,-4.53E-11,-9.39E-11,-1.02E-10,-1.32E-10,-1.76E-10,-2.82E-10,-5.26E-10,-8.34E-10
12.4,2.96E-12,1.05E-11,-3.90E-12,1.58E-11,-1.49E-11,-1.22E-11,-5.25E-11,-1.13E-10,-9.87E-11,-1.43E-10,-1.77E-10,-2.70E-10,-5.22E-10,-8.26E-10
12.5,-4.54E-12,-7.04E-13,-1.11E-11,7.68E-12,-1.51E-12,-3.16E-11,-5.19E-11,-1.03E-10,-9.50E-11,-1.30E-10,-1.89E-10,-2.75E-10,-5.18E-10,-8.37E-10
12.6,2.64E-12,9.92E-12,-7.34E-12,-1.92E-11,-1.46E-11,-3.19E-11,-5.87E-11,-1.09E-10,-1.01E-10,-1.14E-10,-1.72E-10,-2.89E-10,-5.05E-10,-8.26E-10
12.7,-3.29E-12,1.48E-12,-1.67E-11,-1.39E-11,-2.68E-11,-4.53E-11,-5.00E-11,-8.71E-11,-1.02E-10,-1.27E-10,-1.65E-10,-2.90E-10,-4.90E-10,-8.34E-10
12.8,-8.30E-12,3.98E-12,-5.46E-12,-1.70E-12,-9.95E-12,-3.66E-11,-5.12E-11,-6.17E-11,-1.04E-10,-1.39E-10,-1.60E-10,-2.96E-10,-4.92E-10,-8.28E-10
12.9,-1.55E-11,1.40E-11,-5.46E-12,-1.20E-11,-1.82E-12,-4.06E-11,-4.59E-11,-7.24E-11,-1.17E-10,-1.44E-10,-1.61E-10,-2.98E-10,-5.03E-10,-8.28E-10
13,-4.42E-11,8.36E-12,-6.09E-12,-8.58E-12,-2.12E-11,-1.28E-11,-5.28E-11,-7.96E-11,-1.10E-10,-1.52E-10,-1.75E-10,-2.80E-10,-4.94E-10,-8.30E-10
13.1,-1.92E-11,4.30E-12,-5.78E-12,-1.67E-11,-2.24E-11,-2.22E-11,-5.19E-11,-8.42E-11,-1.19E-10,-1.51E-10,-1.69E-10,-2.72E-10,-5.13E-10,-8.19E-10
13.2,1.71E-12,-1.02E-12,-1.17E-11,-2.08E-11,-2.12E-11,-3.09E-11,-5.53E-11,-8.83E-11,-1.14E-10,-1.42E-10,-1.78E-10,-2.82E-10,-5.14E-10,-8.23E-10
13.3,1.83E-11,1.37E-11,-3.27E-12,-2.80E-11,-1.43E-11,-2.78E-11,-5.41E-11,-8.49E-11,-1.19E-10,-1.54E-10,-1.87E-10,-2.92E-10,-4.99E-10,-8.15E-10
13.4,-1.42E-12,5.86E-12,-1.14E-11,-1.98E-11,-1.24E-11,-1.94E-11,-5.00E-11,-8.80E-11,-1.12E-10,-1.55E-10,-1.88E-10,-2.88E-10,-4.87E-10,-8.33E-10
13.5,3.27E-12,-7.58E-12,-1.77E-11,2.36E-12,-2.15E-11,-2.69E-11,-4.87E-11,-8.14E-11,-9.75E-11,-1.37E-10,-1.94E-10,-2.94E-10,-4.91E-10,-8.29E-10
13.6,-2.04E-12,-9.46E-12,-6.40E-12,-1.55E-11,-1.81E-11,-4.06E-11,-4.19E-11,-7.96E-11,-1.07E-10,-1.37E-10,-1.91E-10,-2.90E-10,-5.01E-10,-8.34E-10
13.7,-9.23E-12,1.17E-12,-4.52E-12,-1.55E-11,-2.37E-11,-2.19E-11,-5.41E-11,-7.30E-11,-1.13E-10,-1.36E-10,-1.76E-10,-2.76E-10,-5.10E-10,-8.24E-10
13.8,-1.55E-11,7.11E-12,-2.08E-11,-6.08E-12,-1.37E-11,-2.81E-11,-4.91E-11,-8.05E-11,-1.08E-10,-1.44E-10,-1.69E-10,-2.71E-10,-4.97E-10,-8.12E-10
13.9,-7.67E-12,-1.07E-11,-3.17E-11,-1.30E-11,-2.37E-11,-3.81E-11,-3.66E-11,-8.64E-11,-9.81E-11,-1.31E-10,-1.74E-10,-2.57E-10,-5.00E-10,-8.08E-10
14,-1.02E-11,-1.13E-11,-9.53E-12,-2.05E-11,-2.09E-11,-3.66E-11,-2.91E-11,-8.24E-11,-1.01E-10,-1.33E-10,-1.70E-10,-2.62E-10,-5.03E-10,-8.35E-10
14.1,-1.17E-11,-1.95E-12,-4.84E-12,5.80E-12,-2.03E-11,-3.28E-11,-3.72E-11,-8.71E-11,-1.03E-10,-1.52E-10,-1.63E-10,-2.75E-10,-5.04E-10,-8.30E-10
14.2,-1.27E-11,2.49E-11,4.54E-12,2.27E-11,-1.28E-11,-4.19E-11,-3.66E-11,-8.64E-11,-1.07E-10,-1.35E-10,-1.76E-10,-2.81E-10,-4.95E-10,-8.21E-10
14.3,-2.11E-11,2.43E-11,-9.84E-12,1.75E-13,-2.84E-11,-3.94E-11,-3.94E-11,-9.36E-11,-7.97E-11,-1.28E-10,-1.69E-10,-2.78E-10,-5.08E-10,-8.19E-10
14.4,-2.20E-11,6.17E-12,-1.08E-11,-1.55E-11,-2.84E-11,-3.09E-11,-3.44E-11,-1.00E-10,-7.97E-11,-1.39E-10,-1.70E-10,-2.78E-10,-5.18E-10,-8.21E-10
14.5,-1.05E-11,3.05E-12,-1.33E-11,-6.39E-12,-2.81E-11,-1.25E-11,-4.31E-11,-9.14E-11,-9.47E-11,-1.45E-10,-1.69E-10,-2.83E-10,-5.17E-10,-8.24E-10
14.6,-4.23E-12,1.77E-11,-2.02E-12,-1.45E-11,-6.82E-12,-2.22E-11,-4.22E-11,-8.83E-11,-1.12E-10,-1.39E-10,-1.72E-10,-2.86E-10,-4.96E-10,-8.10E-10
14.7,-1.64E-11,1.37E-11,-1.67E-11,-1.36E-11,-2.18E-11,-4.16E-11,-4.09E-11,-9.89E-11,-1.27E-10,-1.38E-10,-1.81E-10,-2.76E-10,-4.90E-10,-8.20E-10
14.8,-1.20E-11,8.36E-12,3.92E-12,-2.36E-11,-2.34E-11,-5.00E-11,-3.87E-11,-8.49E-11,-1.07E-10,-1.41E-10,-1.57E-10,-2.67E-10,-4.90E-10,-8.20E-10
14.9,-7.67E-12,2.73E-12,-1.40E-12,-1.33E-11,-1.03E-11,-4.44E-11,-4.06E-11,-7.05E-11,-9.72E-11,-1.50E-10,-1.65E-10,-2.60E-10,-5.08E-10,-8.24E-10
15,-1.45E-11,-1.02E-12,-1.40E-12,-7.64E-12,4.75E-12,-3.50E-11,-4.78E-11,-8.49E-11,-7.72E-11,-1.50E-10,-1.63E-10,-2.64E-10,-5.08E-10,-8.20E-10
15.1,-3.46E-11,9.92E-12,2.04E-12,1.24E-11,-4.94E-12,-1.72E-11,-5.53E-11,-7.80E-11,-8.00E-11,-1.50E-10,-1.59E-10,-2.61E-10,-5.19E-10,-7.95E-10
15.2,-2.08E-11,1.49E-11,3.60E-12,2.68E-12,-4.40E-11,-1.81E-11,-4.97E-11,-7.33E-11,-9.15E-11,-1.36E-10,-1.67E-10,-2.66E-10,-5.09E-10,-7.88E-10
15.3,-3.92E-12,1.81E-11,-1.80E-11,-3.58E-12,-3.78E-11,-2.34E-11,-3.62E-11,-7.45E-11,-8.90E-11,-1.24E-10,-1.86E-10,-2.77E-10,-4.91E-10,-8.27E-10
15.4,-4.54E-12,2.15E-11,-3.14E-11,-1.33E-11,-2.18E-11,-3.13E-11,-5.19E-11,-8.46E-11,-9.37E-11,-1.41E-10,-1.66E-10,-2.75E-10,-4.97E-10,-8.23E-10
15.5,-9.55E-12,1.99E-11,-1.86E-11,-1.48E-11,-1.28E-11,-2.88E-11,-3.84E-11,-9.02E-11,-9.65E-11,-1.35E-10,-1.54E-10,-2.71E-10,-4.95E-10,-8.23E-10
15.6,-9.86E-12,-5.71E-12,-1.58E-11,-1.76E-11,-2.24E-11,-2.19E-11,-3.09E-11,-6.55E-11,-7.31E-11,-1.23E-10,-1.56E-10,-2.68E-10,-4.88E-10,-8.33E-10
15.7,-2.55E-11,-1.70E-11,-1.20E-11,1.43E-12,-2.81E-11,-1.28E-11,-3.06E-11,-7.39E-11,-7.97E-11,-1.37E-10,-1.68E-10,-2.57E-10,-4.88E-10,-8.25E-10
15.8,-2.20E-11,1.48E-12,3.29E-12,-2.95E-12,-1.19E-12,-8.75E-12,-5.62E-11,-9.42E-11,-9.28E-11,-1.34E-10,-1.60E-10,-2.62E-10,-5.03E-10,-8.06E-10
15.9,-1.74E-11,-5.39E-12,-2.96E-12,4.55E-12,-9.01E-12,-3.63E-11,-5.12E-11,-7.89E-11,-1.05E-10,-1.42E-10,-1.50E-10,-2.70E-10,-5.00E-10,-8.03E-10
16,-2.20E-11,5.86E-12,9.85E-12,-1.38E-13,-7.13E-12,-4.50E-11,-6.06E-11,-7.67E-11,-1.20E-10,-1.33E-10,-1.53E-10,-2.56E-10,-5.01E-10,-8.05E-10
16.1,-1.08E-11,1.09E-11,-4.61E-13,5.49E-12,-2.65E-11,-3.59E-11,-4.84E-11,-7.33E-11,-1.27E-10,-1.23E-10,-1.66E-10,-2.44E-10,-5.10E-10,-8.02E-10
16.2,2.33E-12,2.12E-11,-3.90E-12,-8.58E-12,-3.00E-11,-2.56E-11,-5.31E-11,-8.46E-11,-1.08E-10,-1.31E-10,-1.80E-10,-2.53E-10,-4.92E-10,-7.95E-10
16.3,-1.05E-11,3.21E-11,-1.14E-11,-1.70E-12,8.81E-12,-3.75E-11,-3.62E-11,-7.14E-11,-1.01E-10,-1.32E-10,-1.90E-10,-2.48E-10,-4.94E-10,-8.16E-10
16.4,-1.95E-11,1.84E-11,7.04E-12,1.74E-12,-1.03E-11,-3.16E-11,-2.75E-11,-7.64E-11,-1.01E-10,-1.38E-10,-1.94E-10,-2.44E-10,-4.87E-10,-8.09E-10
16.5,7.69E-13,1.34E-11,-1.71E-12,2.05E-12,-1.56E-11,-2.63E-11,-2.91E-11,-7.92E-11,-1.09E-10,-1.44E-10,-1.73E-10,-2.55E-10,-4.75E-10,-8.06E-10
16.6,-9.55E-12,2.09E-11,-1.45E-11,-9.83E-12,-3.40E-11,-2.09E-11,-1.59E-11,-7.52E-11,-9.37E-11,-1.37E-10,-1.54E-10,-2.69E-10,-4.84E-10,-8.11E-10
16.7,-1.27E-11,2.15E-11,-2.96E-12,-2.73E-11,-4.00E-11,-3.88E-11,-1.81E-11,-9.52E-11,-1.05E-10,-1.37E-10,-1.48E-10,-2.60E-10,-4.93E-10,-8.24E-10
16.8,7.02E-12,2.09E-11,-2.65E-12,-1.23E-11,-3.00E-11,-2.56E-11,-3.78E-11,-7.58E-11,-1.14E-10,-1.39E-10,-1.46E-10,-2.47E-10,-5.00E-10,-8.33E-10
16.9,-3.61E-12,1.46E-11,4.77E-13,-1.05E-11,-2.68E-11,-2.94E-11,-2.62E-11,-7.52E-11,-9.34E-11,-1.43E-10,-1.52E-10,-2.48E-10,-4.93E-10,-8.35E-10
17,-7.36E-12,6.80E-12,4.54E-12,-2.64E-12,-2.31E-11,-2.53E-11,-4.69E-11,-8.96E-11,-9.00E-11,-1.40E-10,-1.61E-10,-2.53E-10,-4.81E-10,-8.18E-10
17.1,-1.20E-11,8.05E-12,-5.78E-12,-1.39E-12,-3.78E-11,-1.59E-11,-6.37E-11,-8.64E-11,-9.12E-11,-1.35E-10,-1.73E-10,-2.38E-10,-4.83E-10,-8.22E-10
17.2,-4.86E-12,-5.39E-12,-1.48E-11,-1.05E-11,-3.50E-11,-2.56E-11,-5.87E-11,-7.33E-11,-1.07E-10,-1.44E-10,-1.81E-10,-2.47E-10,-4.81E-10,-8.09E-10
17.3,-1.36E-11,1.68E-11,-9.21E-12,-2.08E-11,-2.65E-11,-2.75E-11,-4.66E-11,-7.64E-11,-1.13E-10,-1.24E-10,-1.76E-10,-2.52E-10,-4.87E-10,-8.02E-10
17.4,-1.80E-11,2.90E-11,-3.59E-12,5.80E-12,-2.59E-11,-3.59E-11,-3.66E-11,-7.99E-11,-1.14E-10,-1.12E-10,-1.67E-10,-2.55E-10,-4.89E-10,-8.09E-10
17.5,-6.11E-12,2.24E-11,-1.09E-12,1.24E-11,-2.28E-11,-1.66E-11,-4.44E-11,-7.02E-11,-1.18E-10,-1.20E-10,-1.69E-10,-2.72E-10,-5.07E-10,-8.17E-10
17.6,-1.24E-11,1.30E-11,-1.64E-11,-2.33E-12,-2.03E-11,-1.24E-12,-4.31E-11,-9.77E-11,-1.26E-10,-1.17E-10,-1.72E-10,-2.69E-10,-5.08E-10,-8.26E-10
17.7,5.77E-12,1.02E-11,-1.95E-11,-1.95E-11,-1.21E-11,-6.56E-12,-5.31E-11,-1.03E-10,-1.01E-10,-1.15E-10,-1.76E-10,-2.45E-10,-4.98E-10,-8.36E-10
17.8,-4.23E-12,-5.08E-12,-4.21E-12,-1.36E-11,-1.06E-11,-1.81E-11,-4.97E-11,-7.92E-11,-9.47E-11,-1.32E-10,-1.79E-10,-2.50E-10,-4.88E-10,-8.27E-10
17.9,5.77E-12,1.02E-11,-1.14E-11,-1.58E-11,-1.93E-11,-1.94E-11,-3.87E-11,-7.67E-11,-1.02E-10,-1.16E-10,-1.50E-10,-2.63E-10,-4.89E-10,-8.23E-10
18,-7.67E-12,2.74E-11,-8.59E-12,-1.26E-11,-1.40E-11,-3.50E-11,-4.12E-11,-8.99E-11,-1.13E-10,-1.32E-10,-1.57E-10,-2.47E-10,-4.87E-10,-8.05E-10
18.1,-3.29E-12,1.34E-11,-1.11E-11,-2.33E-12,-8.70E-12,-2.16E-11,-5.16E-11,-8.71E-11,-9.19E-11,-1.47E-10,-1.70E-10,-2.53E-10,-4.66E-10,-8.21E-10
18.2,-3.61E-12,4.61E-12,-2.34E-12,-1.17E-11,-1.09E-11,6.57E-12,-5.00E-11,-7.67E-11,-8.37E-11,-1.34E-10,-1.84E-10,-2.50E-10,-4.65E-10,-8.11E-10
18.3,-4.54E-12,1.18E-11,-1.49E-13,-9.83E-12,-1.65E-11,-8.12E-12,-3.44E-11,-7.61E-11,-9.78E-11,-1.27E-10,-1.69E-10,-2.47E-10,-4.72E-10,-8.13E-10
18.4,-1.24E-11,-3.92E-13,1.05E-11,-2.83E-11,-1.71E-11,-3.31E-11,-4.59E-11,-1.01E-10,-9.03E-11,-1.16E-10,-1.67E-10,-2.58E-10,-4.86E-10,-8.13E-10
18.5,-1.08E-11,5.23E-12,1.08E-11,-2.98E-11,-1.53E-11,-2.72E-11,-5.16E-11,-9.71E-11,-8.15E-11,-1.17E-10,-1.49E-10,-2.51E-10,-4.86E-10,-8.17E-10
18.6,-7.67E-12,1.21E-11,7.89E-13,-2.20E-11,-3.06E-11,-2.00E-11,-3.69E-11,-8.64E-11,-1.07E-10,-1.20E-10,-1.59E-10,-2.57E-10,-4.90E-10,-8.04E-10
18.7,2.64E-12,1.02E-11,-1.58E-11,-6.08E-12,-2.87E-11,-1.28E-11,-2.34E-11,-8.99E-11,-8.53E-11,-1.15E-10,-1.76E-10,-2.59E-10,-4.98E-10,-7.94E-10
18.8,-2.04E-12,1.24E-11,1.41E-12,-1.20E-11,-2.43E-11,-3.25E-11,-2.06E-11,-9.64E-11,-7.37E-11,-1.29E-10,-1.67E-10,-2.72E-10,-4.94E-10,-7.94E-10
18.9,-2.36E-12,1.09E-11,-9.53E-12,-1.17E-11,-3.50E-11,-2.28E-11,-4.22E-11,-8.67E-11,-1.07E-10,-1.35E-10,-1.74E-10,-2.62E-10,-4.93E-10,-7.96E-10
19,-6.73E-12,7.74E-12,-6.40E-12,-1.05E-11,-3.34E-11,-4.06E-11,-5.94E-11,-9.77E-11,-9.81E-11,-1.31E-10,-1.67E-10,-2.50E-10,-4.95E-10,-8.03E-10
19.1,-7.98E-12,7.42E-12,-1.52E-11,-1.70E-11,-4.63E-12,-3.78E-11,-5.72E-11,-1.07E-10,-8.94E-11,-1.41E-10,-1.65E-10,-2.48E-10,-5.02E-10,-8.17E-10
19.2,-2.92E-11,5.86E-12,-9.21E-12,-5.45E-12,6.00E-12,-3.69E-11,-5.12E-11,-9.11E-11,-9.12E-11,-1.52E-10,-1.60E-10,-2.44E-10,-4.93E-10,-8.34E-10
19.3,-1.95E-11,9.92E-12,-4.21E-12,2.68E-12,-1.12E-11,-2.78E-11,-3.87E-11,-8.99E-11,-8.94E-11,-1.45E-10,-1.74E-10,-2.54E-10,-4.88E-10,-8.27E-10
19.4,-1.24E-11,6.49E-12,3.92E-12,1.61E-11,-2.12E-11,-2.13E-11,-4.37E-11,-8.27E-11,-8.84E-11,-1.30E-10,-1.70E-10,-2.63E-10,-4.78E-10,-8.24E-10
19.5,-3.29E-12,-5.08E-12,7.89E-13,3.61E-12,-4.71E-11,-2.06E-11,-4.59E-11,-8.05E-11,-8.53E-11,-1.35E-10,-1.74E-10,-2.63E-10,-4.77E-10,-8.00E-10
19.6,-4.23E-12,-1.33E-12,-6.71E-12,-1.36E-11,-4.12E-11,-2.78E-11,-6.25E-11,-8.89E-11,-9.97E-11,-1.36E-10,-1.58E-10,-2.61E-10,-4.66E-10,-7.92E-10
19.7,-2.98E-12,9.30E-12,2.04E-12,-2.45E-11,-1.71E-11,-3.59E-11,-4.87E-11,-8.64E-11,-9.22E-11,-1.31E-10,-1.73E-10,-2.48E-10,-4.68E-10,-8.11E-10
19.8,-8.30E-12,7.74E-12,-1.67E-11,-1.95E-11,-6.51E-12,-2.78E-11,-4.62E-11,-7.71E-11,-8.94E-11,-1.31E-10,-1.66E-10,-2.63E-10,-4.78E-10,-8.16E-10
19.9,-1.77E-11,1.24E-11,-2.92E-11,-1.48E-11,-6.51E-12,-1.66E-11,-2.37E-11,-7.14E-11,-8.25E-11,-1.28E-10,-1.66E-10,-2.72E-10,-4.83E-10,-8.17E-10
20,-2.36E-12,-3.92E-13,-3.67E-11,-4.83E-12,-1.46E-11,-2.28E-11,-1.50E-11,-8.67E-11,-9.28E-11,-1.19E-10,-1.73E-10,-2.52E-10,-4.85E-10,-8.20E-10
20.1,-1.02E-11,3.05E-12,-4.27E-11,1.11E-11,-2.31E-11,-2.41E-11,-4.78E-11,-9.33E-11,-8.53E-11,-1.29E-10,-1.63E-10,-2.51E-10,-4.92E-10,-8.20E-10
20.2,-1.45E-11,1.02E-11,-2.33E-11,-8.58E-12,-1.96E-11,-7.81E-12,-4.78E-11,-9.14E-11,-9.72E-11,-1.43E-10,-1.64E-10,-2.63E-10,-4.98E-10,-8.02E-10
20.3,-1.33E-11,5.23E-12,-1.20E-11,-1.30E-11,-1.78E-11,-6.87E-12,-4.37E-11,-8.46E-11,-8.53E-11,-1.34E-10,-1.79E-10,-2.80E-10,-4.86E-10,-8.02E-10
20.4,-1.64E-11,1.37E-11,-8.90E-12,-1.89E-11,-2.59E-11,-2.25E-11,-6.19E-11,-7.42E-11,-9.40E-11,-1.21E-10,-1.87E-10,-2.66E-10,-4.78E-10,-8.01E-10
20.5,-1.80E-11,1.27E-11,-1.23E-11,-1.39E-11,-3.46E-11,-2.81E-11,-5.44E-11,-8.55E-11,-1.01E-10,-1.23E-10,-1.79E-10,-2.57E-10,-4.72E-10,-7.95E-10
20.6,-3.92E-12,1.18E-11,4.54E-12,-1.36E-11,-3.81E-11,-2.13E-11,-4.53E-11,-8.77E-11,-8.22E-11,-1.34E-10,-1.63E-10,-2.54E-10,-4.84E-10,-8.01E-10
20.7,4.52E-12,-3.92E-13,5.17E-12,-1.98E-11,-4.28E-11,-1.28E-11,-5.09E-11,-8.24E-11,-8.56E-11,-1.29E-10,-1.66E-10,-2.44E-10,-4.78E-10,-7.98E-10
20.8,-1.69E-13,-6.33E-12,-1.23E-11,-3.23E-11,-2.21E-11,-5.31E-12,-4.81E-11,-9.74E-11,-9.19E-11,-1.27E-10,-1.49E-10,-2.48E-10,-4.84E-10,-8.00E-10
20.9,-7.98E-12,6.80E-12,-8.90E-12,-1.08E-11,-2.06E-11,-7.81E-12,-4.34E-11,-8.61E-11,-8.12E-11,-1.21E-10,-1.56E-10,-2.60E-10,-4.74E-10,-8.15E-10
21,6.71E-12,2.11E-12,-1.20E-11,-3.58E-12,-1.46E-11,-1.00E-11,-2.59E-11,-8.71E-11,-1.01E-10,-1.34E-10,-1.74E-10,-2.74E-10,-4.77E-10,-8.28E-10
21.1,-3.92E-12,8.59E-13,-1.86E-11,-3.58E-12,-2.37E-11,-2.03E-11,-2.84E-11,-8.30E-11,-8.56E-11,-1.27E-10,-1.79E-10,-2.61E-10,-4.70E-10,-8.18E-10
21.2,-2.42E-11,5.23E-12,-1.61E-11,3.93E-12,-1.93E-11,-2.19E-11,-3.22E-11,-7.96E-11,-8.44E-11,-1.23E-10,-1.82E-10,-2.61E-10,-4.71E-10,-7.93E-10
21.3,-1.49E-11,1.62E-11,-2.48E-11,2.68E-12,-2.43E-11,-1.53E-11,-1.84E-11,-8.42E-11,-9.84E-11,-1.13E-10,-1.78E-10,-2.62E-10,-4.74E-10,-7.97E-10
21.4,4.57E-13,1.18E-11,-3.59E-12,-1.01E-11,-3.68E-11,-1.62E-11,-2.84E-11,-8.52E-11,-1.00E-10,-1.28E-10,-1.69E-10,-2.57E-10,-4.85E-10,-8.10E-10
21.5,-9.23E-12,4.92E-12,-1.48E-11,-1.08E-11,-2.21E-11,-8.12E-12,-3.62E-11,-7.83E-11,-1.14E-10,-1.23E-10,-1.63E-10,-2.53E-10,-4.87E-10,-8.23E-10
21.6,-1.80E-11,-2.58E-12,-4.21E-12,1.11E-12,-1.24E-11,-1.12E-11,-4.16E-11,-7.49E-11,-1.18E-10,-1.32E-10,-1.59E-10,-2.68E-10,-4.75E-10,-7.94E-10
21.7,-1.20E-11,1.71E-11,6.10E-12,-1.26E-11,-5.26E-12,-1.56E-11,-4.47E-11,-6.11E-11,-1.30E-10,-1.41E-10,-1.70E-10,-2.84E-10,-4.78E-10,-7.93E-10
21.8,-1.69E-13,2.43E-11,1.33E-11,-1.51E-11,-1.53E-11,-1.12E-11,-3.66E-11,-5.67E-11,-1.17E-10,-1.36E-10,-1.64E-10,-2.68E-10,-4.77E-10,-8.00E-10
21.9,-5.48E-12,2.49E-11,7.35E-12,-6.70E-12,-1.06E-11,-1.69E-11,-3.16E-11,-6.70E-11,-1.02E-10,-1.43E-10,-1.81E-10,-2.42E-10,-4.84E-10,-8.02E-10
22,-7.67E-12,1.15E-11,-2.34E-12,-3.89E-12,-2.09E-11,-6.25E-12,-2.15E-11,-7.99E-11,-9.97E-11,-1.22E-10,-1.81E-10,-2.50E-10,-4.93E-10,-7.85E-10
22.1,-9.86E-12,5.46E-13,-7.96E-12,-1.39E-12,-3.03E-11,-9.32E-13,-3.31E-11,-6.64E-11,-9.06E-11,-1.14E-10,-1.75E-10,-2.53E-10,-4.82E-10,-7.97E-10
22.2,1.71E-12,2.73E-12,-1.27E-11,-1.36E-11,-2.56E-11,-1.28E-11,-6.25E-11,-6.80E-11,-1.01E-10,-1.04E-10,-1.71E-10,-2.42E-10,-4.88E-10,-8.20E-10
22.3,1.39E-12,2.49E-11,-1.58E-11,-1.70E-12,-4.28E-11,-1.12E-11,-5.56E-11,-7.33E-11,-1.08E-10,-1.14E-10,-1.54E-10,-2.34E-10,-4.93E-10,-8.35E-10
22.4,6.71E-12,1.49E-11,-1.70E-11,3.30E-12,-9.01E-12,-1.41E-11,-4.84E-11,-8.92E-11,-1.12E-10,-1.22E-10,-1.63E-10,-2.62E-10,-5.02E-10,-8.25E-10
22.5,9.21E-12,8.67E-12,5.79E-12,-4.51E-12,-2.44E-12,-6.87E-12,-4.44E-11,-1.05E-10,-1.02E-10,-1.14E-10,-1.75E-10,-2.59E-10,-4.92E-10,-8.17E-10
22.6,1.01E-11,2.42E-12,-8.28E-12,-9.83E-12,-2.56E-11,-7.81E-12,-3.62E-11,-8.61E-11,-8.90E-11,-1.27E-10,-1.77E-10,-2.55E-10,-4.65E-10,-8.26E-10
22.7,-7.98E-12,9.61E-12,3.92E-12,-1.73E-11,-4.28E-11,6.31E-13,-3.06E-11,-8.11E-11,-9.15E-11,-1.31E-10,-1.71E-10,-2.48E-10,-4.71E-10,-8.22E-10
22.8,7.69E-13,2.31E-11,-1.71E-12,-2.11E-11,-2.53E-11,-9.06E-12,-2.87E-11,-7.17E-11,-8.15E-11,-1.34E-10,-1.62E-10,-2.39E-10,-4.77E-10,-8.07E-10
22.9,-7.05E-12,3.02E-11,9.54E-12,-2.80E-11,-1.99E-11,-1.62E-11,-2.56E-11,-6.99E-11,-8.44E-11,-1.26E-10,-1.57E-10,-2.40E-10,-4.78E-10,-7.98E-10
23,-2.02E-11,7.74E-12,-6.71E-12,-2.08E-11,-2.09E-11,-3.06E-11,-2.97E-11,-8.52E-11,-9.59E-11,-1.02E-10,-1.64E-10,-2.44E-10,-4.73E-10,-7.98E-10
23.1,-1.95E-11,-1.02E-12,-2.02E-11,-6.39E-12,-2.84E-11,-2.63E-11,-1.19E-11,-7.58E-11,-1.07E-10,-1.07E-10,-1.74E-10,-2.53E-10,-4.57E-10,-8.08E-10
23.2,-2.83E-11,-1.82E-11,-6.71E-12,1.24E-11,-1.90E-11,-1.44E-11,-2.40E-11,-9.33E-11,-9.97E-11,-1.09E-10,-1.65E-10,-2.67E-10,-4.73E-10,-8.06E-10
23.3,-2.02E-11,-1.10E-11,-1.05E-11,1.11E-12,-2.46E-11,-9.06E-12,-3.28E-11,-8.14E-11,-9.50E-11,-1.29E-10,-1.69E-10,-2.68E-10,-4.77E-10,-8.15E-10
23.4,-6.42E-12,-1.95E-12,6.42E-12,-2.01E-12,-1.62E-11,-7.18E-12,-1.19E-11,-6.11E-11,-9.12E-11,-1.40E-10,-1.66E-10,-2.58E-10,-4.65E-10,-8.23E-10
23.5,6.71E-12,1.05E-11,-1.49E-13,1.43E-12,-9.95E-12,-1.87E-12,-8.42E-12,-5.39E-11,-8.37E-11,-1.44E-10,-1.68E-10,-2.55E-10,-4.79E-10,-8.36E-10
23.6,-9.55E-12,1.99E-11,1.08E-11,-1.45E-11,-4.32E-12,-1.97E-11,-1.87E-11,-7.11E-11,-9.03E-11,-1.55E-10,-1.68E-10,-2.57E-10,-4.81E-10,-8.03E-10
23.7,-1.08E-11,1.93E-11,3.92E-12,-1.83E-11,-1.82E-12,-1.81E-11,-2.94E-11,-7.96E-11,-9.97E-11,-1.55E-10,-1.61E-10,-2.50E-10,-4.73E-10,-7.85E-10
23.8,-4.86E-12,5.23E-12,1.11E-11,-1.01E-11,1.04E-11,-2.06E-11,-3.59E-11,-7.27E-11,-8.44E-11,-1.38E-10,-1.43E-10,-2.48E-10,-4.68E-10,-7.94E-10
23.9,-6.11E-12,8.36E-12,2.05E-11,-1.39E-11,-2.44E-12,-2.81E-11,-4.06E-11,-8.61E-11,-9.47E-11,-1.29E-10,-1.41E-10,-2.49E-10,-4.79E-10,-8.12E-10
24,-2.14E-11,1.43E-11,3.29E-12,-1.14E-11,-1.62E-11,-3.66E-11,-3.91E-11,-9.74E-11,-9.53E-11,-1.23E-10,-1.62E-10,-2.32E-10,-4.77E-10,-8.14E-10
24.1,-9.23E-12,1.37E-11,-7.65E-12,-1.45E-11,-2.09E-11,-2.22E-11,-3.47E-11,-8.86E-11,-8.94E-11,-1.12E-10,-1.70E-10,-2.36E-10,-4.78E-10,-8.13E-10
24.2,-1.73E-12,1.59E-11,-4.84E-12,-2.83E-11,-2.46E-11,-1.34E-11,-4.53E-11,-7.92E-11,-7.53E-11,-1.36E-10,-1.68E-10,-2.48E-10,-4.72E-10,-8.18E-10
24.3,-2.64E-11,1.12E-11,-7.65E-12,-3.76E-11,-2.18E-11,-1.37E-11,-1.94E-11,-8.71E-11,-7.65E-11,-1.38E-10,-1.55E-10,-2.61E-10,-4.50E-10,-8.27E-10
